card_number,edition
SDJ-034,0
SDJ-036,0
SDJ-049,0
SDJ-049,0
SDJ-050,0
SDK-E002,0
SDK-E012,0
SDK-E025,0
SDK-E031,0
SDK-E039,0
SDK-E044,0
SDOK-EN001,1
SDOK-EN002,1
SDOK-EN003,1
SDOK-EN004,1
SDOK-EN005,1
SDOK-EN006,1
SDOK-EN007,1
SDOK-EN008,1
SDOK-EN008,1
SDOK-EN009,1
SDOK-EN010,1
SDOK-EN011,1
SDOK-EN012,1
SDOK-EN013,1
SDOK-EN014,1
SDOK-EN015,1
SDOK-EN016,1
SDOK-EN017,1
SDOK-EN018,1
SDOK-EN019,1
SDOK-EN020,1
SDOK-EN021,1
SDOK-EN021,1
SDOK-EN022,1
SDOK-EN023,1
SDOK-EN024,1
SDOK-EN025,1
SDOK-EN026,1
SDOK-EN027,1
SDOK-EN028,1
SDOK-EN029,1
SDOK-EN030,1
SDOK-EN031,1
SDOK-EN032,1
SDOK-EN033,1
SDOK-EN034,1
SDOK-EN035,1
SDOK-EN036,1
SDOK-EN037,1
SDOK-EN039,1
SDP-005,0
SDP-016,0
SDP-021,0
SDRE-EN001,1
SDRE-EN002,1
SDRE-EN003,1
SDRE-EN004,1
SDRE-EN005,1
SDRE-EN005,1
SDRE-EN007,1
SDRE-EN008,1
SDRE-EN010,1
SDRE-EN012,1
SDRE-EN013,1
SDRE-EN014,1
SDRE-EN015,1
SDRE-EN016,1
SDRE-EN017,1
SDRE-EN017,1
SDRE-EN018,1
SDRE-EN019,1
SDRE-EN020,1
SDRE-EN021,1
SDRE-EN022,1
SDRE-EN024,1
SDRE-EN024,1
SDRE-EN025,1
SDRE-EN026,1
SDRE-EN027,1
SDRE-EN028,1
SDRE-EN029,1
SDRE-EN031,1
SDRE-EN032,1
SDRE-EN033,1
SDRE-EN034,1
SDRE-EN035,1
SDRE-EN038,1
SDRE-EN039,1
SDSC-EN005,1
SDSC-EN020,1
SDSC-EN024,1
SDSC-EN025,1
SDSC-EN027,1
SDSC-EN035,1
SDSC-EN035,1
SDSC-EN036,1
SDWA-EN015,1
SDWA-EN038,1
SDY-004,0
SDY-019,0
SHSP-EN002,1
SHSP-EN014,1
SHSP-EN017,0
SHSP-EN017,1
SHSP-EN017,1
SHSP-EN018,1
SHSP-EN019,1
SHSP-EN020,1
SHSP-EN021,1
SHSP-EN021,1
SHSP-EN024,1
SHSP-EN024,1
SHSP-EN026,1
SHSP-EN026,1
SHSP-EN027,1
SHSP-EN033,1
SHSP-EN048,1
SHSP-EN051,1
SHSP-EN057,1
SHSP-EN061,1
SHSP-EN061,1
SHSP-EN062,0
SHSP-EN072,1
SHSP-EN073,0
SHSP-EN074,0
SHSP-EN074,0
SHSP-EN079,1
SHSP-EN091,1
SHSP-ENSP1,L
SKE-010,0
SKE-016,0
SKE-021,0
SKE-024,0
SKE-026,0
SKE-050,1
SKE-050,1
SOD-EN024,1
SOD-EN029,0
SOD-EN030,1
SOD-EN046,0
SOD-EN049,1
SOD-EN049,1
SP13-EN001,1
SP13-EN008,1
SP13-EN008,1
SP13-EN009,1
SP13-EN010,1
SP13-EN011,1
SP13-EN016,1
SP13-EN022,1
SP13-EN026,1
SP13-EN027,1
SP13-EN028,1
SP13-EN029,1
SP13-EN033,1
SP13-EN035,1
SP13-EN042,1
SP13-EN044,1
SP13-EN049,1
SP13-EN049,1
SP14-EN002,1
SP14-EN006,1
SP14-EN006,1
SP14-EN007,1
SP14-EN007,1
SP14-EN009,1
SP14-EN009,1
SP14-EN011,1
SP14-EN014,1
SP14-EN018,1
SP14-EN020,1
SP14-EN021,1
SP14-EN022,1
SP14-EN023,1
SP14-EN025,1
SP14-EN026,1
SP14-EN026,1
SP14-EN027,1
SP14-EN029,1
SP14-EN034,1
SP14-EN036,1
SP14-EN037,1
SP14-EN038,1
SP14-EN041,1
SP14-EN042,1
SP14-EN043,1
SP14-EN049,1
SP14-EN050,1
STOR-EN005,0
SYE-035,0
SYE-040,1
SYE-048,0
SYE-048,0
WGRT-EN076,L
WGRT-EN104,L
YS13-EN021,1
YS13-EN027,1
YS13-EN031,1
YS13-ENV08,1
ZTIN-EN003,1
ZTIN-EN004,1
ZTIN-EN006,1
ZTIN-EN006,1
ZTIN-EN007,1
ZTIN-EN007,1
ZTIN-EN008,1
ZTIN-EN008,1
ZTIN-EN009,1
ZTIN-EN012,1
ZTIN-EN014,1
ZTIN-EN015,1
ZTIN-EN016,1
ZTIN-EN017,1
ZTIN-EN019,1
ZTIN-EN020,1
ZTIN-ENV01,L
ZTIN-ENV02,L
ZTIN-ENV03,L
